,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max,missing_n,zero_n,skewness
price,3588.0,549121.0283862876,422141.9068786328,7800.0,142409.0,210000.0,326000.0,462000.0,650000.0,1157330.0,2000000.0,12899000.0,0,0,9.853494027208809
bedrooms,3588.0,3.3943701226309924,0.9036317821323668,0.0,2.0,2.0,3.0,3.0,4.0,5.0,6.0,9.0,0,2,0.5049228013635779
bathrooms,3588.0,2.1486204013377925,0.774481610485967,0.0,1.0,1.0,1.75,2.25,2.5,3.5,4.5,8.0,0,2,0.614393890989174
sqft_living,3588.0,2117.4671125975474,952.6819846051831,380.0,720.0,950.0,1450.0,1960.0,2590.0,3830.0,5016.5000000000055,13540.0,0,0,1.8815466935589353
sqft_lot,3588.0,14817.523690078038,37091.66349959606,681.0,1038.31,1613.35,5000.0,7624.0,10844.0,43097.5,203821.37000000034,1074218.0,0,0,11.917492554503454
floors,3588.0,1.5054347826086956,0.5400451255136551,1.0,1.0,1.0,1.0,1.5,2.0,2.0,3.0,3.5,0,0,0.5880947357231675
waterfront,3588.0,0.006688963210702341,0.08152345237837852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,3564,12.109059516809724
view,3588.0,0.23773690078037904,0.7702675366116104,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,0,3230,3.3551037680335702
condition,3588.0,3.448160535117057,0.6756256296988224,1.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,5.0,0,0,0.96202580576442
sqft_above,3588.0,1804.0069676700111,846.1779563236081,380.0,710.0,860.0,1170.0,1570.0,2262.5,3396.4999999999964,4460.0,9410.0,0,0,1.4660861787721993
sqft_basement,3588.0,313.46014492753625,464.8624190713035,0.0,0.0,0.0,0.0,0.0,600.0,1200.0,1722.6000000000022,4820.0,0,2123,1.7106754786680423
yr_built,3588.0,1970.7511148272017,29.617949906439414,1900.0,1903.0,1913.0,1951.0,1976.0,1997.0,2009.0,2014.0,2014.0,0,0,-0.49987733662610234
yr_renovated,3588.0,819.3397435897435,981.454899798276,0.0,0.0,0.0,0.0,0.0,1999.0,2010.0,2014.0,2014.0,0,2114,0.3632911086821107
