meta_source_row_id,meta_sale_date,meta_address_group_id,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,property_age,has_basement,basement_share,room_count_invalid,years_since_renovation,renovation_status,city,zip_code
24,2014-05-02,ADDR_31ad00341e04b110,612500.0,4.0,2.5,2730,12261,2.0,0,0,3,23,0,0.0,0,,none_recorded,Bothell,98011
28,2014-05-02,ADDR_f46a9c6a03a2545c,698000.0,4.0,2.25,2200,11250,1.5,0,0,5,94,1,0.4090909090909091,0,,none_recorded,Kirkland,98033
18,2014-05-02,ADDR_689dc55d2b94c583,367500.0,4.0,3.0,3110,7231,2.0,0,0,3,17,0,0.0,0,,none_recorded,Auburn,98092
4310,2014-05-02,ADDR_9d1c9f3a5f8f2274,436110.0,3.0,2.5,1770,1235,3.0,0,0,3,7,1,0.096045197740113,0,,none_recorded,Seattle,98103
43,2014-05-02,ADDR_ca12f4797150ab77,308500.0,2.0,1.0,850,6174,1.0,0,0,4,64,0,0.0,0,31.0,valid_year,Shoreline,98155
4340,2014-05-02,ADDR_f990e56974228731,440000.0,4.0,2.25,2160,8119,1.0,0,0,3,48,1,0.5,0,,invalid_year,Bellevue,98006
20,2014-05-02,ADDR_8cce940229d2ee91,275000.0,3.0,1.5,1180,10277,1.0,0,0,3,31,0,0.0,0,5.0,valid_year,North Bend,98045
62,2014-05-02,ADDR_2b2c5598d57cf945,459990.0,3.0,2.5,2680,5539,2.0,0,0,3,1,0,0.0,0,,invalid_year,North Bend,98045
16,2014-05-02,ADDR_74c72caeaf09197b,242500.0,3.0,1.5,1200,9720,1.0,0,0,4,49,0,0.0,0,,none_recorded,Kent,98042
31,2014-05-02,ADDR_cce951eb32c9fe63,382500.0,4.0,1.75,1560,8700,1.0,0,0,4,47,0,0.0,0,,none_recorded,Kirkland,98034
17,2014-05-02,ADDR_f30e54f754af2d04,419000.0,3.0,1.5,1570,6700,1.0,0,0,4,58,0,0.0,0,,none_recorded,Bellevue,98007
50,2014-05-02,ADDR_b1d2e7be36bb5644,838000.0,4.0,2.5,3310,42998,2.0,0,0,3,13,0,0.0,0,,none_recorded,Redmond,98052
46,2014-05-02,ADDR_45a2bc80d29be8e9,315000.0,3.0,1.0,1160,9180,1.0,0,0,3,46,0,0.0,0,17.0,valid_year,Woodinville,98077
19,2014-05-02,ADDR_2f0eaf1ff96b119e,257950.0,3.0,1.75,1370,5858,1.0,0,0,3,27,0,0.0,0,14.0,valid_year,Des Moines,98198
34,2014-05-02,ADDR_fe8130a4793c7733,625000.0,4.0,2.5,2820,8408,2.0,0,0,3,0,0,0.0,0,,none_recorded,Shoreline,98155
39,2014-05-02,ADDR_3b770a61f8a5857e,403000.0,3.0,2.0,1960,13100,1.0,0,2,5,57,1,0.15816326530612246,0,,none_recorded,Normandy Park,98166
13,2014-05-02,ADDR_e5b7ead210340103,588500.0,3.0,1.75,2330,14892,1.0,0,0,3,34,1,0.15450643776824036,0,,none_recorded,Sammamish,98074
1,2014-05-02,ADDR_0c2a0f46bd594850,313000.0,3.0,1.5,1340,7912,1.5,0,0,3,59,0,0.0,0,9.0,valid_year,Shoreline,98133
55,2014-05-02,ADDR_8994a71e4b651259,470000.0,5.0,2.5,2210,9655,1.0,0,0,3,38,1,0.3393665158371041,0,,none_recorded,Bothell,98011
32,2014-05-02,ADDR_07705cd3b8acff6e,499950.0,4.0,2.5,2860,3345,2.0,0,0,3,10,1,0.23426573426573427,0,,invalid_year,Woodinville,98072
