group,feature_columns,max_mutual_information,top3_mean_mutual_information,max_abs_spearman,top3_mean_abs_spearman,filter_rank
living_area,6,0.31596275940899066,0.3029910693519371,0.648375487974135,0.6402922915809497,1.0
room_layout,4,0.22878802777804275,0.1794103668230845,0.5584893099747582,0.4784303277434485,2.0
lot_and_land_intensity,2,0.09168685623964201,0.08630613707217938,0.2669097525731471,0.17398123074165187,3.5
location,88,0.03366462087164512,0.03170461602947346,0.22773620563270502,0.20774252873510304,4.5
basement,2,0.035083749954213594,0.031840759902544646,0.18262595140980992,0.17334492175254534,5.0
age,8,0.05909235252174838,0.04958813627475885,0.19219337028331362,0.16042370454726212,5.0
view,4,0.017157320425748135,0.014524644751122659,0.16129964203664923,0.1516855363365859,7.5
floors,5,0.04685559918949611,0.02043523774451539,0.27150502384290154,0.14627875476133814,7.5
waterfront,1,0.006708511143110774,0.006708511143110774,0.10207492865991191,0.10207492865991191,9.5
renovation,3,0.007655374041801943,0.006973187372260196,0.0865026939635562,0.05949794240021019,10.0
condition,4,0.007022737272603052,0.00457064617589172,0.10171184513568927,0.06488191157113579,10.5
data_quality,1,0.0,0.0,0.03705698253072699,0.03705698253072699,12.0
