fold,model,mae,rmse,median_ae,r2,rmsle,wape,mean_error,negative_prediction_n
fold_1,dummy_median,225886.449009434,366659.9001726392,161350.0,-0.0298742943995034,0.5529663194127463,0.42029433964313284,-62448.23021226414,0
fold_1,dummy_mean,239264.43029837275,361333.03695217386,189876.01796420594,-0.0001674789735088833,0.5771531966870378,0.445186004620158,4675.751823529919,0
fold_1,size_only_raw,173250.77071607808,263735.0275656192,122996.61062517407,0.4671646689454886,0.41589461010102513,0.3223580634876275,1504.4794794382904,0
fold_1,size_only_log,171829.80936741113,274159.9521091619,118960.98672424688,0.42420827686577356,0.40802089660146534,0.3197141598169321,-42221.18414145683,0
fold_1,ols_raw_zip_9,157147.71141186124,248863.00032044327,105155.997844291,0.5255635451629828,0.6085194546997409,0.29239599756388823,11299.892980699671,1
fold_1,ols_log_zip_9,150311.46735277164,248511.21119249205,97694.32273466248,0.5269039101161452,0.36767035196015174,0.2796761788449958,-14314.035553578185,0
fold_1,ridge_log_both_9,130419.99335815616,235142.36491480801,78267.00165922081,0.5764358935983452,0.32917183447573406,0.2426652206234767,-12176.712329950511,0
fold_1,ridge_log_both_full12,126080.10966627915,236274.51971047273,73629.00379600155,0.572347352849049,0.3233287157707751,0.23459024065719605,-8793.91719260719,0
fold_1,lasso_log_both_9,135437.27436574808,239316.13358466484,86707.34107504744,0.5612659491143643,0.33789662894933964,0.25200059606161024,-13996.34692375456,0
fold_1,elastic_log_both_9,134062.8062361807,238290.17662378447,85134.65833869716,0.5650196233988766,0.3358316374099313,0.24944319973522447,-13043.997162321119,0
fold_1,huber_log_both_9,123010.4299069382,236136.2471458011,67385.78193763993,0.5728477481145684,0.31851819673636456,0.22887865843070218,-13083.122540079357,0
fold_1,random_forest_log_9,144834.34171042565,246709.1586559449,88219.64357695996,0.5337402450948755,0.3548786059459405,0.2694851960964196,-13742.653912039365,0
fold_1,extra_trees_log_9,134877.1746502708,237671.58816469333,77440.29479893306,0.5672750633344001,0.3359067611515463,0.25095844970407916,-9759.91761192692,0
fold_1,gradient_boosting_log_9,158856.8470460622,272264.0882257314,99769.9532342618,0.43214414308628346,0.3850480094080547,0.29557609108382776,-42054.86170181862,0
fold_1,hist_gradient_boosting_log_9,134604.32472906192,233731.1205243915,82140.02427018821,0.5815048118767436,0.3354208986249041,0.2504507730463643,-7156.195552799936,0
fold_2,dummy_median,216965.43888221154,401982.4064183389,148000.0,-0.05081301020224882,0.5192007398590751,0.3956365572002421,-88395.83181490384,0
fold_2,dummy_mean,223593.43159494226,392236.0260522319,168597.84107921924,-0.0004751595204590675,0.5344901710047164,0.4077227043374213,-8547.990735684605,0
fold_2,size_only_raw,169411.26180089772,286369.3646464187,122687.2860305034,0.46670874551769914,0.40229763335694996,0.3089214978900093,-6840.290677518611,0
fold_2,size_only_log,167920.43574277978,306655.0192512952,118739.48789806012,0.3884788180802009,0.39599019575095834,0.30620297602746327,-52070.54279767539,0
fold_2,ols_raw_zip_9,117260.20648781389,229523.26539808206,73927.32043282443,0.6574178129187505,0.337972145880808,0.21382402944191578,-8253.236500905592,0
fold_2,ols_log_zip_9,102633.74327151824,193558.9203189075,58329.396334085264,0.7563660919665622,0.27540056312840977,0.1871526684144446,-28651.087801398768,0
fold_2,ridge_log_both_9,91841.15079444593,181124.79258932613,53293.98233367462,0.7866625242796912,0.24137919168817695,0.1674723720829527,-28023.070510833677,0
fold_2,ridge_log_both_full12,92196.55863482539,181450.34150718275,53865.183595070936,0.7858949407946632,0.24171865512791899,0.1681204584099462,-27705.433931400148,0
fold_2,lasso_log_both_9,92044.922139954,178622.43664563113,53870.0387833289,0.7925165940307972,0.24196013266684255,0.16784394920605683,-28662.904727350957,0
fold_2,elastic_log_both_9,91909.36671140077,178681.61564503593,53794.83790955914,0.7923790895313993,0.24168614961653953,0.16759676383248348,-28373.105975018123,0
fold_2,huber_log_both_9,90195.85369521708,180317.4696117227,52185.9390163341,0.7885600933584364,0.24037639635125826,0.16447217222041224,-21808.434067778948,0
fold_2,random_forest_log_9,119748.80141794767,262222.3105873846,72640.36086260085,0.5528526826903811,0.2890912090343823,0.21836198320771635,-42185.73021915815,0
fold_2,extra_trees_log_9,106620.91977246084,255747.56578880068,59300.716946239496,0.5746618210817245,0.26876242328953254,0.19442328622302119,-30505.954230395277,0
fold_2,gradient_boosting_log_9,152779.37261393186,322311.00544294773,97685.57937059968,0.32444358924542505,0.3588792992555647,0.27859324187113516,-63530.524907851446,0
fold_2,hist_gradient_boosting_log_9,108430.2581510797,259319.39983823712,62704.05511787711,0.5626980988957173,0.2649895327378293,0.1977226154185603,-38766.642750890445,0
fold_3,dummy_median,242826.5730571992,551400.3683787519,160000.0,-0.03460721831793223,0.5409554779195817,0.42929001066698597,-100846.92171597632,0
fold_3,dummy_mean,252243.74381891286,542589.0952120932,192610.82798368298,-0.0018057560318380794,0.5560562374308156,0.44593850710562166,-23036.093732293357,0
fold_3,size_only_raw,179832.97460657812,467104.9705475157,122804.01534804315,0.25754458731953667,0.4047782917441292,0.3179244290078117,-14103.81623673212,0
fold_3,size_only_log,180934.29338798128,481411.4626898254,121274.8109558762,0.21136825653816838,0.3965155652472632,0.3198714364768211,-62275.30687075765,0
fold_3,ols_raw_zip_9,122162.04115337868,429568.59619573393,64793.46286885033,0.3720769155579817,0.30301736070992163,0.21596871911329685,-16818.10563122219,0
fold_3,ols_log_zip_9,107902.47453598944,426847.90257085033,50763.940978683895,0.38000569002529605,0.25966132567387523,0.19075941261847731,-34136.362503941156,0
