mae_rank,model,n,mae,rmse,median_ae,r2,rmsle,wape,mean_error,negative_prediction_n
1,huber_log_both_9,2694,103945.587759721,306964.911737324,53762.891734848236,0.5272871689155272,0.26604158155493063,0.18849743310738828,-20871.20162431991,0
2,ridge_log_both_full12,2694,106168.72961008607,307014.4351476354,56650.76145029164,0.5271346287454746,0.26911802965126125,0.19252893209891936,-23745.877885507714,0
3,ridge_log_both_9,2694,107530.94922136464,306968.62102659495,57861.446878350514,0.5272757445529401,0.27141038574352055,0.19499921396069606,-24944.370175022465,0
4,elastic_log_both_9,2694,108870.78150331916,307463.2255948727,58784.88613839637,0.5257511591378377,0.2742680195193111,0.19742889810011952,-25820.07583931374,0
5,lasso_log_both_9,2694,109426.93295415032,307775.7246265499,59023.26188552214,0.5247866365151481,0.27527469139086636,0.19843743653989393,-26361.40517246098,0
6,extra_trees_log_9,2694,118030.3444923373,328528.38798604405,62781.7417138719,0.4585408148116369,0.2881814454612948,0.21403907029719663,-27559.066437553607,0
7,ols_log_zip_9,2694,119624.53893709979,315576.49206531467,64336.118754140916,0.5003922017981146,0.30224676668085637,0.2169300209107659,-26202.77608730305,0
8,hist_gradient_boosting_log_9,2694,120079.9695525201,333800.9185657971,65586.61769003657,0.4410216660969569,0.287281917469267,0.21775590976103332,-32854.12927444479,0
9,random_forest_log_9,2694,129485.12509622923,337369.662478365,72900.16071524104,0.429005436528608,0.3077249583056379,0.23481144541361898,-33581.66465537609,0
10,ols_raw_zip_9,2694,131660.75011308296,324376.00937921193,78192.5573783661,0.4721416775750594,0.43173622763661623,0.23875677623448197,-5322.176180838691,1
11,gradient_boosting_log_9,2694,160939.6350624074,380940.3372723861,99470.12001125558,0.27199586861985936,0.36927944702242005,0.2918518115904013,-60529.681317358336,0
12,size_only_log,2694,174049.3149135005,374076.15909492975,120164.39438551274,0.29799536339746235,0.400012120070108,0.31562522087163936,-52811.21637957297,0
13,size_only_raw,2694,174542.48687329298,359645.6783529573,122850.65659615127,0.3511121953537121,0.4075521928692038,0.3165195507850582,-6947.510359754337,0
14,dummy_median,2694,229507.4606495917,454600.5041362965,155000.0,-0.03676361182727006,0.538187546732129,0.4161943584507475,-84914.70301039347,0
15,dummy_mean,2694,239309.99562449506,446567.0524253959,185288.49345223187,-0.0004451325492480507,0.5562917422696629,0.43397051153755206,-9838.711874640569,0
